id, name, gender, size, type, more_names
28, Human Female 3 (N), f, s, Archetype - Human, Human 3 ♀ (N) | Female 3 (N) | Woman 3 (N) | Lady 3 (N) | ♀ 3 (N)
29, Human Female 4 (N), f, s, Archetype - Human, Human 4 ♀ (N) | Female 4 (N) | Woman 4 (N) | Lady 4 (N) | ♀ 4 (N)
30, Zombie, m, l, Archetype - Zombie, Zombie Male | Zombie ♂
31, Zombie (N), m, l, Archetype - Zombie, Zombie Male (N) | Zombie ♂ (N)
32, Zombie Female (U), f, l, Archetype - Zombie, Zombie ♀ (U) | Lady Zombie (U)
33, Zombie Female, f, s, Archetype - Zombie, Zombie ♀ | Lady Zombie
34, Ape, m, l, Archetype - Ape, Ape Male | Ape ♂
35, Ape (N), m, l, Archetype - Ape, Ape Male (N) | Ape ♂ (N)
36, Ape Female (U), f, l, Archetype - Ape, Ape ♀ (U) | Lady Ape (U)
37, Ape Female, f, s, Archetype - Ape, Ape ♀ | Lady Ape
38, Alien B&W, m, l, Archetype - Alien, Alien Male B&W | Alien B&W ♂ | Alien 1-Bit | Alien Male 1-Bit
39, Alien, m, l, Archetype - Alien, Alien Male | Alien ♂
40, Alien (N), m, l, Archetype - Alien, Alien Male (N) | Alien ♂ (N)
41, Alien Female B&W, f, l, Archetype - Alien, Alien B&W ♀ | Alien Female 1-Bit
42, Alien Female (U), f, l, Archetype - Alien, Alien ♀ (U) | Lady Alien (U)
43, Alien Female, f, s, Archetype - Alien, Alien ♀ | Lady Alien
44, Zombie (Ape), m, l, Archetype - Zombie, Zombie (Ape) Male | Zombie (Ape) ♂
45, Zombie (Ape) (N), m, l, Archetype - Zombie, Zombie (Ape) Male (N) | Zombie (Ape) ♂ (N)
46, Alien (Ape), m, l, Archetype - Alien, Alien (Ape) Male | Alien (Ape) ♂
47, Alien (Ape) (N), m, l, Archetype - Alien, Alien (Ape) Male (N) | Alien (Ape) ♂ (N)
48, Demon B&W, m, l, Archetype - Demon, Demon Male B&W | Demon B&W ♂ | Demon 1-Bit | Demon Male 1-Bit
49, Demon, m, l, Archetype - Demon, Demon Male | Demon ♂
50, Demon (N), m, l, Archetype - Demon, Demon Male (N) | Demon ♂ (N)
51, Demon Female B&W, f, l, Archetype - Demon, Demon B&W ♀ | Demon Female 1-Bit
52, Demon Female (U), f, l, Archetype - Demon, Demon ♀ (U) | Lady Demon (U)
53, Demon Female, f, s, Archetype - Demon, Demon ♀ | Lady Demon
54, Ghost, m, l, Archetype - Ghost, Ghost Male | Ghost ♂
55, Ghost Female (U), f, l, Archetype - Ghost, Ghost ♀ (U) | Lady Ghost (U)
56, Ghost Female, f, s, Archetype - Ghost, Ghost ♀ | Lady Ghost
57, Mummy, m, l, Archetype - Mummy, Mummy Male | Mummy ♂
58, Mummy Female (U), f, l, Archetype - Mummy, Mummy ♀ (U) | Lady Mummy (U)
59, Mummy Female, f, s, Archetype - Mummy, Mummy ♀ | Lady Mummy
60, Orc B&W, m, l, Archetype - Orc, Orc Male B&W | Orc B&W ♂ | Orc 1-Bit | Orc Male 1-Bit
61, Orc, m, l, Archetype - Orc, Orc Male | Orc ♂
62, Orc Female B&W, f, l, Archetype - Orc, Orc B&W ♀ | Orc Female 1-Bit
63, Orc Female (U), f, l, Archetype - Orc, Orc ♀ (U) | Lady Orc (U)
64, Orc Female, f, s, Archetype - Orc, Orc ♀ | Lady Orc
65, Robot B&W, m, l, Archetype - Robot, Robot Male B&W | Robot B&W ♂ | Robot 1-Bit | Robot Male 1-Bit
66, Robot, m, l, Archetype - Robot, Robot Male | Robot ♂
67, Robot Female B&W, f, l, Archetype - Robot, Robot B&W ♀ | Robot Female 1-Bit
68, Robot Female (U), f, l, Archetype - Robot, Robot ♀ (U) | Lady Robot (U)
69, Robot Female, f, s, Archetype - Robot, Robot ♀ | Lady Robot
70, Skeleton, m, l, Archetype - Skeleton, Skeleton Male | Skeleton ♂
71, Skeleton (N), m, l, Archetype - Skeleton, Skeleton Male (N) | Skeleton ♂ (N)
72, Skeleton Female (U), f, l, Archetype - Skeleton, Skeleton ♀ (U) | Lady Skeleton (U)
73, Skeleton Female, f, s, Archetype - Skeleton, Skeleton ♀ | Lady Skeleton
74, Vampire B&W, m, l, Archetype - Vampire, Vampire Male B&W | Vampire B&W ♂ | Vampire 1-Bit | Vampire Male 1-Bit
75, Vampire, m, l, Archetype - Vampire, Vampire Male | Vampire ♂
76, Vampire Female B&W, f, l, Archetype - Vampire, Vampire B&W ♀ | Vampire Female 1-Bit
77, Vampire Female (U), f, l, Archetype - Vampire, Vampire ♀ (U) | Lady Vamp (U) | Lady Vampire (U)
78, Vampire Female, f, s, Archetype - Vampire, Vampire ♀ | Lady Vamp | Lady Vampire
79, Frankenstein B&W, m, l, Archetype - Frankenstein, Frankenstein Male B&W | Frankenstein B&W ♂ | Frankenstein 1-Bit | Frankenstein Male 1-Bit
80, Frankenstein, m, l, Archetype - Frankenstein, Frankenstein Male | Frankenstein ♂
81, Frankenstein Female B&W, f, l, Archetype - Frankenstein, Frankenstein B&W ♀ | Frankenstein Female 1-Bit
82, Frankenstein Female (U), f, l, Archetype - Frankenstein, Frankenstein ♀ (U)
83, Frankenstein Female, f, s, Archetype - Frankenstein, Frankenstein ♀
84, Jack-O-Lantern, m, l, Archetype - Jack-O-Lantern, Jack-O-Lantern Male | Jack-O-Lantern ♂
85, Jack-O-Lantern Female (U), f, l, Archetype - Jack-O-Lantern, Jack-O-Lantern ♀ (U)
86, Jack-O-Lantern Female, f, s, Archetype - Jack-O-Lantern, Jack-O-Lantern ♀
87, Joker, m, l, Archetype - Joker, Joker Male | Joker ♂
88, Joker Female (U), f, l, Archetype - Joker, Joker ♀ (U)
89, Joker Female, f, s, Archetype - Joker, Joker ♀
90, Scream, m, l, Archetype - Scream, Scream Male | Scream ♂
91, Scream Female (U), f, l, Archetype - Scream, Scream ♀ (U)
92, Scream Female, f, s, Archetype - Scream, Scream ♀
93, Human Chocolate, m, l, Archetype - Human, Human Male Chocolate | Human Chocolate ♂ | Male Chocolate
94, Human Espresso, m, l, Archetype - Human, Human Male Espresso | Human Espresso ♂ | Male Espresso
95, Human Golden, m, l, Archetype - Human, Human Male Golden | Human Golden ♂ | Male Golden
96, Human Umber, m, l, Archetype - Human, Human Male Umber | Human Umber ♂ | Male Umber
97, Human Bronze, m, l, Archetype - Human, Human Male Bronze | Human Bronze ♂ | Male Bronze
98, Human Chestnut, m, l, Archetype - Human, Human Male Chestnut | Human Chestnut ♂ | Male Chestnut
99, Human Almond, m, l, Archetype - Human, Human Male Almond | Human Almond ♂ | Male Almond
100, Human Band, m, l, Archetype - Human, Human Male Band | Human Band ♂ | Male Band
101, Human Honey, m, l, Archetype - Human, Human Male Honey | Human Honey ♂ | Male Honey
102, Human Sienna, m, l, Archetype - Human, Human Male Sienna | Human Sienna ♂ | Male Sienna
103, Human Beige, m, l, Archetype - Human, Human Male Beige | Human Beige ♂ | Male Beige
104, Human Limestone, m, l, Archetype - Human, Human Male Limestone | Human Limestone ♂ | Male Limestone
105, Human Rose Beige, m, l, Archetype - Human, Human Male Rose Beige | Human Rose Beige ♂ | Male Rose Beige
106, Human Sand, m, l, Archetype - Human, Human Male Sand | Human Sand ♂ | Male Sand
107, Human Warm Ivory, m, l, Archetype - Human, Human Male Warm Ivory | Human Warm Ivory ♂ | Male Warm Ivory
108, Human Pale Ivory, m, l, Archetype - Human, Human Male Pale Ivory | Human Pale Ivory ♂ | Male Pale Ivory
109, Human Porcelain, m, l, Archetype - Human, Human Male Porcelain | Human Porcelain ♂ | Male Porcelain
110, Human Ivory, m, l, Archetype - Human, Human Male Ivory | Human Ivory ♂ | Male Ivory
111, Human Orange, m, l, Archetype - Human, Human Male Orange | Human Orange ♂ | Male Orange
112, Human Warm Red, m, l, Archetype - Human, Human Male Warm Red | Human Warm Red ♂ | Male Warm Red
113, Human Red, m, l, Archetype - Human, Human Male Red | Human Red ♂ | Male Red
114, Human Rubine Red, m, l, Archetype - Human, Human Male Rubine Red | Human Rubine Red ♂ | Male Rubine Red
115, Human Pink, m, l, Archetype - Human, Human Male Pink | Human Pink ♂ | Human Barbie Pink | Human Male Barbie Pink | Human Barbie Pink ♂ | Male Pink | Male Barbie Pink
116, Human Purple, m, l, Archetype - Human, Human Male Purple | Human Purple ♂ | Male Purple
117, Human Blue, m, l, Archetype - Human, Human Male Blue | Human Blue ♂ | Male Blue
118, Human Violet, m, l, Archetype - Human, Human Male Violet | Human Violet ♂ | Male Violet
119, Human Yellow, m, l, Archetype - Human, Human Male Yellow | Human Yellow ♂ | Male Yellow
120, Human Female Chocolate, f, s, Archetype - Human, Human Chocolate ♀ | Female Chocolate
121, Human Female Espresso, f, s, Archetype - Human, Human Espresso ♀ | Female Espresso
122, Human Female Golden, f, s, Archetype - Human, Human Golden ♀ | Female Golden
123, Human Female Umber, f, s, Archetype - Human, Human Umber ♀ | Female Umber
124, Human Female Bronze, f, s, Archetype - Human, Human Bronze ♀ | Female Bronze
125, Human Female Chestnut, f, s, Archetype - Human, Human Chestnut ♀ | Female Chestnut
126, Human Female Almond, f, s, Archetype - Human, Human Almond ♀ | Female Almond
127, Human Female Band, f, s, Archetype - Human, Human Band ♀ | Female Band
128, Human Female Honey, f, s, Archetype - Human, Human Honey ♀ | Female Honey
129, Human Female Sienna, f, s, Archetype - Human, Human Sienna ♀ | Female Sienna
130, Human Female Beige, f, s, Archetype - Human, Human Beige ♀ | Female Beige
131, Human Female Limestone, f, s, Archetype - Human, Human Limestone ♀ | Female Limestone
132, Human Female Rose Beige, f, s, Archetype - Human, Human Rose Beige ♀ | Female Rose Beige
133, Human Female Sand, f, s, Archetype - Human, Human Sand ♀ | Female Sand
134, Human Female Warm Ivory, f, s, Archetype - Human, Human Warm Ivory ♀ | Female Warm Ivory
135, Human Female Pale Ivory, f, s, Archetype - Human, Human Pale Ivory ♀ | Female Pale Ivory
136, Human Female Porcelain, f, s, Archetype - Human, Human Porcelain ♀ | Female Porcelain
137, Human Female Ivory, f, s, Archetype - Human, Human Ivory ♀ | Female Ivory
138, Human Female Orange, f, s, Archetype - Human, Human Orange ♀ | Female Orange
139, Human Female Warm Red, f, s, Archetype - Human, Human Warm Red ♀ | Female Warm Red
140, Human Female Red, f, s, Archetype - Human, Human Red ♀ | Female Red
141, Human Female Rubine Red, f, s, Archetype - Human, Human Rubine Red ♀ | Female Rubine Red
142, Human Female Pink, f, s, Archetype - Human, Human Pink ♀ | Human Female Barbie Pink | Human Barbie Pink ♀ | Female Pink | Female Barbie Pink
143, Human Female Purple, f, s, Archetype - Human, Human Purple ♀ | Female Purple
144, Human Female Blue, f, s, Archetype - Human, Human Blue ♀ | Female Blue
145, Human Female Violet, f, s, Archetype - Human, Human Violet ♀ | Female Violet
146, Human Female Yellow, f, s, Archetype - Human, Human Yellow ♀ | Female Yellow
147, Human Gold 1, m, l, Archetype - Human, Human Male Gold 1 | Human Gold 1 ♂ | Human Gold | Human Male Gold | Human Gold ♂ | Male Gold 1 | Male Gold
148, Human Gold 2, m, l, Archetype - Human, Human Male Gold 2 | Human Gold 2 ♂ | Human Goldenrod | Human Male Goldenrod | Human Goldenrod ♂ | Male Gold 2 | Male Goldenrod
149, Human Gold 3, m, l, Archetype - Human, Human Male Gold 3 | Human Gold 3 ♂ | Human Dark Goldenrod | Human Male Dark Goldenrod | Human Dark Goldenrod ♂ | Male Gold 3 | Male Dark Goldenrod
150, Human Female Gold 1, f, s, Archetype - Human, Human Gold 1 ♀ | Human Female Gold | Human Gold ♀ | Female Gold 1 | Female Gold
151, Human Female Gold 2, f, s, Archetype - Human, Human Gold 2 ♀ | Human Female Goldenrod | Human Goldenrod ♀ | Female Gold 2 | Female Goldenrod
152, Human Female Gold 3, f, s, Archetype - Human, Human Gold 3 ♀ | Human Female Dark Goldenrod | Human Dark Goldenrod ♀ | Female Gold 3 | Female Dark Goldenrod
153, Zombie Gold 1, m, l, Archetype - Zombie, Zombie Male Gold 1 | Zombie Gold 1 ♂ | Zombie Gold | Zombie Male Gold | Zombie Gold ♂
154, Zombie Gold 2, m, l, Archetype - Zombie, Zombie Male Gold 2 | Zombie Gold 2 ♂ | Zombie Goldenrod | Zombie Male Goldenrod | Zombie Goldenrod ♂
155, Zombie Gold 3, m, l, Archetype - Zombie, Zombie Male Gold 3 | Zombie Gold 3 ♂ | Zombie Dark Goldenrod | Zombie Male Dark Goldenrod | Zombie Dark Goldenrod ♂
156, Zombie Female Gold 1, f, s, Archetype - Zombie, Zombie Gold 1 ♀ | Zombie Female Gold | Zombie Gold ♀
157, Zombie Female Gold 2, f, s, Archetype - Zombie, Zombie Gold 2 ♀ | Zombie Female Goldenrod | Zombie Goldenrod ♀
158, Zombie Female Gold 3, f, s, Archetype - Zombie, Zombie Gold 3 ♀ | Zombie Female Dark Goldenrod | Zombie Dark Goldenrod ♀
159, Ape Gold 1, m, l, Archetype - Ape, Ape Male Gold 1 | Ape Gold 1 ♂ | Ape Gold | Ape Male Gold | Ape Gold ♂
160, Ape Gold 2, m, l, Archetype - Ape, Ape Male Gold 2 | Ape Gold 2 ♂ | Ape Goldenrod | Ape Male Goldenrod | Ape Goldenrod ♂
161, Ape Gold 3, m, l, Archetype - Ape, Ape Male Gold 3 | Ape Gold 3 ♂ | Ape Dark Goldenrod | Ape Male Dark Goldenrod | Ape Dark Goldenrod ♂
162, Ape Female Gold 1, f, s, Archetype - Ape, Ape Gold 1 ♀ | Ape Female Gold | Ape Gold ♀
163, Ape Female Gold 2, f, s, Archetype - Ape, Ape Gold 2 ♀ | Ape Female Goldenrod | Ape Goldenrod ♀
164, Ape Female Gold 3, f, s, Archetype - Ape, Ape Gold 3 ♀ | Ape Female Dark Goldenrod | Ape Dark Goldenrod ♀
165, Alien Gold 1, m, l, Archetype - Alien, Alien Male Gold 1 | Alien Gold 1 ♂ | Alien Gold | Alien Male Gold | Alien Gold ♂
166, Alien Gold 2, m, l, Archetype - Alien, Alien Male Gold 2 | Alien Gold 2 ♂ | Alien Goldenrod | Alien Male Goldenrod | Alien Goldenrod ♂
167, Alien Gold 3, m, l, Archetype - Alien, Alien Male Gold 3 | Alien Gold 3 ♂ | Alien Dark Goldenrod | Alien Male Dark Goldenrod | Alien Dark Goldenrod ♂
168, Alien Female Gold 1, f, s, Archetype - Alien, Alien Gold 1 ♀ | Alien Female Gold | Alien Gold ♀
169, Alien Female Gold 2, f, s, Archetype - Alien, Alien Gold 2 ♀ | Alien Female Goldenrod | Alien Goldenrod ♀
170, Alien Female Gold 3, f, s, Archetype - Alien, Alien Gold 3 ♀ | Alien Female Dark Goldenrod | Alien Dark Goldenrod ♀
171, Demon Gold 1, m, l, Archetype - Demon, Demon Male Gold 1 | Demon Gold 1 ♂ | Demon Gold | Demon Male Gold | Demon Gold ♂
172, Demon Gold 2, m, l, Archetype - Demon, Demon Male Gold 2 | Demon Gold 2 ♂ | Demon Goldenrod | Demon Male Goldenrod | Demon Goldenrod ♂
173, Demon Gold 3, m, l, Archetype - Demon, Demon Male Gold 3 | Demon Gold 3 ♂ | Demon Dark Goldenrod | Demon Male Dark Goldenrod | Demon Dark Goldenrod ♂
174, Demon Female Gold 1, f, s, Archetype - Demon, Demon Gold 1 ♀ | Demon Female Gold | Demon Gold ♀
175, Demon Female Gold 2, f, s, Archetype - Demon, Demon Gold 2 ♀ | Demon Female Goldenrod | Demon Goldenrod ♀
176, Demon Female Gold 3, f, s, Archetype - Demon, Demon Gold 3 ♀ | Demon Female Dark Goldenrod | Demon Dark Goldenrod ♀
177, Skeleton Gold 1, m, l, Archetype - Skeleton, Skeleton Male Gold 1 | Skeleton Gold 1 ♂ | Skeleton Gold | Skeleton Male Gold | Skeleton Gold ♂
178, Skeleton Gold 2, m, l, Archetype - Skeleton, Skeleton Male Gold 2 | Skeleton Gold 2 ♂ | Skeleton Goldenrod | Skeleton Male Goldenrod | Skeleton Goldenrod ♂
179, Skeleton Gold 3, m, l, Archetype - Skeleton, Skeleton Male Gold 3 | Skeleton Gold 3 ♂ | Skeleton Dark Goldenrod | Skeleton Male Dark Goldenrod | Skeleton Dark Goldenrod ♂
180, Skeleton Female Gold 1, f, s, Archetype - Skeleton, Skeleton Gold 1 ♀ | Skeleton Female Gold | Skeleton Gold ♀
181, Skeleton Female Gold 2, f, s, Archetype - Skeleton, Skeleton Gold 2 ♀ | Skeleton Female Goldenrod | Skeleton Goldenrod ♀
182, Skeleton Female Gold 3, f, s, Archetype - Skeleton, Skeleton Gold 3 ♀ | Skeleton Female Dark Goldenrod | Skeleton Dark Goldenrod ♀
183, Alien 0°, m, l, Archetype - Alien, Alien Male 0° | Alien 0° ♂ | Alien Red | Alien Male Red | Alien Red ♂
184, Alien 30°, m, l, Archetype - Alien, Alien Male 30° | Alien 30° ♂ | Alien Orange | Alien Male Orange | Alien Orange ♂
185, Alien 60°, m, l, Archetype - Alien, Alien Male 60° | Alien 60° ♂ | Alien Yellow | Alien Male Yellow | Alien Yellow ♂
186, Alien 90°, m, l, Archetype - Alien, Alien Male 90° | Alien 90° ♂ | Alien Yellow Green | Alien Male Yellow Green | Alien Yellow Green ♂
187, Alien 120°, m, l, Archetype - Alien, Alien Male 120° | Alien 120° ♂ | Alien Green | Alien Male Green | Alien Green ♂
188, Alien 150°, m, l, Archetype - Alien, Alien Male 150° | Alien 150° ♂ | Alien Cyan Green | Alien Male Cyan Green | Alien Cyan Green ♂
189, Alien 180°, m, l, Archetype - Alien, Alien Male 180° | Alien 180° ♂ | Alien Cyan | Alien Male Cyan | Alien Cyan ♂
190, Alien 210°, m, l, Archetype - Alien, Alien Male 210° | Alien 210° ♂ | Alien Cyan Blue | Alien Male Cyan Blue | Alien Cyan Blue ♂
191, Alien 240°, m, l, Archetype - Alien, Alien Male 240° | Alien 240° ♂ | Alien Blue | Alien Male Blue | Alien Blue ♂
192, Alien 270°, m, l, Archetype - Alien, Alien Male 270° | Alien 270° ♂ | Alien Violet | Alien Male Violet | Alien Violet ♂
193, Alien 300°, m, l, Archetype - Alien, Alien Male 300° | Alien 300° ♂ | Alien Magenta | Alien Male Magenta | Alien Magenta ♂
194, Alien 330°, m, l, Archetype - Alien, Alien Male 330° | Alien 330° ♂ | Alien Red Magenta | Alien Male Red Magenta | Alien Red Magenta ♂
195, Alien (Ape) 0°, m, l, Archetype - Alien, Alien (Ape) Male 0° | Alien (Ape) 0° ♂ | Alien (Ape) Red | Alien (Ape) Male Red | Alien (Ape) Red ♂
196, Alien (Ape) 30°, m, l, Archetype - Alien, Alien (Ape) Male 30° | Alien (Ape) 30° ♂ | Alien (Ape) Orange | Alien (Ape) Male Orange | Alien (Ape) Orange ♂
197, Alien (Ape) 60°, m, l, Archetype - Alien, Alien (Ape) Male 60° | Alien (Ape) 60° ♂ | Alien (Ape) Yellow | Alien (Ape) Male Yellow | Alien (Ape) Yellow ♂
198, Alien (Ape) 90°, m, l, Archetype - Alien, Alien (Ape) Male 90° | Alien (Ape) 90° ♂ | Alien (Ape) Yellow Green | Alien (Ape) Male Yellow Green | Alien (Ape) Yellow Green ♂
199, Alien (Ape) 120°, m, l, Archetype - Alien, Alien (Ape) Male 120° | Alien (Ape) 120° ♂ | Alien (Ape) Green | Alien (Ape) Male Green | Alien (Ape) Green ♂
200, Alien (Ape) 150°, m, l, Archetype - Alien, Alien (Ape) Male 150° | Alien (Ape) 150° ♂ | Alien (Ape) Cyan Green | Alien (Ape) Male Cyan Green | Alien (Ape) Cyan Green ♂
201, Alien (Ape) 180°, m, l, Archetype - Alien, Alien (Ape) Male 180° | Alien (Ape) 180° ♂ | Alien (Ape) Cyan | Alien (Ape) Male Cyan | Alien (Ape) Cyan ♂
202, Alien (Ape) 210°, m, l, Archetype - Alien, Alien (Ape) Male 210° | Alien (Ape) 210° ♂ | Alien (Ape) Cyan Blue | Alien (Ape) Male Cyan Blue | Alien (Ape) Cyan Blue ♂
203, Alien (Ape) 240°, m, l, Archetype - Alien, Alien (Ape) Male 240° | Alien (Ape) 240° ♂ | Alien (Ape) Blue | Alien (Ape) Male Blue | Alien (Ape) Blue ♂
204, Alien (Ape) 270°, m, l, Archetype - Alien, Alien (Ape) Male 270° | Alien (Ape) 270° ♂ | Alien (Ape) Violet | Alien (Ape) Male Violet | Alien (Ape) Violet ♂
205, Alien (Ape) 300°, m, l, Archetype - Alien, Alien (Ape) Male 300° | Alien (Ape) 300° ♂ | Alien (Ape) Magenta | Alien (Ape) Male Magenta | Alien (Ape) Magenta ♂
206, Alien (Ape) 330°, m, l, Archetype - Alien, Alien (Ape) Male 330° | Alien (Ape) 330° ♂ | Alien (Ape) Red Magenta | Alien (Ape) Male Red Magenta | Alien (Ape) Red Magenta ♂
207, Alien Female 0°, f, s, Archetype - Alien, Alien 0° ♀ | Alien Female Red | Alien Red ♀
208, Alien Female 30°, f, s, Archetype - Alien, Alien 30° ♀ | Alien Female Orange | Alien Orange ♀
209, Alien Female 60°, f, s, Archetype - Alien, Alien 60° ♀ | Alien Female Yellow | Alien Yellow ♀
210, Alien Female 90°, f, s, Archetype - Alien, Alien 90° ♀ | Alien Female Yellow Green | Alien Yellow Green ♀
211, Alien Female 120°, f, s, Archetype - Alien, Alien 120° ♀ | Alien Female Green | Alien Green ♀
212, Alien Female 150°, f, s, Archetype - Alien, Alien 150° ♀ | Alien Female Cyan Green | Alien Cyan Green ♀
213, Alien Female 180°, f, s, Archetype - Alien, Alien 180° ♀ | Alien Female Cyan | Alien Cyan ♀
214, Alien Female 210°, f, s, Archetype - Alien, Alien 210° ♀ | Alien Female Cyan Blue | Alien Cyan Blue ♀
215, Alien Female 240°, f, s, Archetype - Alien, Alien 240° ♀ | Alien Female Blue | Alien Blue ♀
216, Alien Female 270°, f, s, Archetype - Alien, Alien 270° ♀ | Alien Female Violet | Alien Violet ♀
217, Alien Female 300°, f, s, Archetype - Alien, Alien 300° ♀ | Alien Female Magenta | Alien Magenta ♀
218, Alien Female 330°, f, s, Archetype - Alien, Alien 330° ♀ | Alien Female Red Magenta | Alien Red Magenta ♀
219, Human 1-II (F), m, l, Archetype - Human, Human Male 1-II (F) | Human 1-II ♂ (F) | Male 1-II (F)
220, Human 2-II (F), m, l, Archetype - Human, Human Male 2-II (F) | Human 2-II ♂ (F) | Male 2-II (F)
221, Human 3-II (F), m, l, Archetype - Human, Human Male 3-II (F) | Human 3-II ♂ (F) | Male 3-II (F)
222, Human 4-II (F), m, l, Archetype - Human, Human Male 4-II (F) | Human 4-II ♂ (F) | Male 4-II (F)
223, Human B&W II, m, l, Archetype - Human, Human Male B&W II | Human B&W II ♂ | Male B&W II | Male 1-Bit II
224, Human Female 1-II (F), f, l, Archetype - Human, Human 1-II ♀ (F) | Female 1-II (F)
225, Human Female 2-II (F), f, l, Archetype - Human, Human 2-II ♀ (F) | Female 2-II (F)
226, Human Female 3-II (F), f, l, Archetype - Human, Human 3-II ♀ (F) | Female 3-II (F)
227, Human Female 4-II (F), f, l, Archetype - Human, Human 4-II ♀ (F) | Female 4-II (F)
228, Human Female B&W II, f, l, Archetype - Human, Human B&W II ♀ | Female B&W II | Female 1-Bit II
229, Eyebrows, u, l, Attribute, 
230, Eyes, u, l, Attribute, 
231, Mouth, u, l, Attribute, 
232, Nose, u, l, Attribute, 
233, Nose Small, u, l, Attribute, Small Nose
234, Mouth Darker, f, l, Attribute, Mouth 1
235, Mouth Dark, f, l, Attribute, Mouth 2
236, Mouth Light, f, l, Attribute, Mouth 3
237, Smile Darker, f, l, Attribute, Smile 1
238, Smile Dark, f, l, Attribute, Smile 2
239, Smile Light, f, l, Attribute, Smile 3
240, 3D Glasses, u, l, Attribute, 
241, 3D Glasses, f, s, Attribute, 
242, Big Shades, u, l, Attribute, 
243, Big Shades, f, s, Attribute, 
